timestamp,round,speed_ratio,rust_avg_speed,torch_avg_speed,rust_final_loss,torch_final_loss
1773584705,round_14_promo_defaults,1.182058735,409150.187500,346133.551162,9.965436902348e-07,1.293573097882e-06
1773585457,round_15_ui_fix,1.209991372,431985.437500,357015.304062,9.965436902348e-07,1.293573097882e-06
1773585705,promo_auto_tensor_1773585657,0.710046072,378236.093750,532692.326239,9.965436902348e-07,1.293573097882e-06
1773586124,round_16_ui_promo_fix,1.399321804,416926.593750,297949.043932,9.965436902348e-07,1.293573097882e-06
1773587385,promo_auto_tensor_1773587298,1.244929775,158054.843750,126958.842955,9.965436902348e-07,1.293573097882e-06
1773587454,promo_profile_tensor_1773587385,1.374149013,188385.437500,137092.437396,9.965436902348e-07,1.293573097882e-06
1773587527,promo_profile_fused_linear_1773587454,0.730866304,165243.093750,226092.094776,9.965436902348e-07,1.293573097882e-06
1773587594,promo_fullstack_profile_1773587527,0.603140153,195048.765625,323388.792185,9.965436902348e-07,1.293573097882e-06
1773587656,promo_best_replay_1773587594,0.529301746,182243.078125,344308.477092,9.965436902348e-07,1.293573097882e-06
1773629739,promo_auto_tensor_1773629696,0.585610865,506922.375000,865630.071835,9.965436902348e-07,1.293573097882e-06
1773629762,promo_profile_tensor_1773629739,0.444766097,485840.031250,1092349.516796,9.965436902348e-07,1.293573097882e-06
1773629782,promo_profile_fused_linear_1773629762,0.504543042,560974.687500,1111847.039556,9.965436902348e-07,1.293573097882e-06
1773629803,promo_fullstack_profile_1773629782,0.495207356,544125.468750,1098783.090636,9.965436902348e-07,1.293573097882e-06
1773630666,round_17_promo_talktrack,1.177844377,534373.250000,453687.482260,9.965436902348e-07,1.293573097882e-06
1773633518,promo_auto_tensor_1773633415,0.547400862,502913.593750,918729.998887,1.045771114150e-06,1.128991721089e-06
1773633552,promo_profile_tensor_1773633518,0.496001087,453471.406250,914254.862990,1.045936073751e-06,1.128991721089e-06
1773633579,promo_profile_fused_linear_1773633552,0.561504833,564253.906250,1004895.903222,1.045771114150e-06,1.128991721089e-06
1773633606,promo_fullstack_profile_1773633579,0.500323764,503391.875000,1006132.251996,1.045771114150e-06,1.128991721089e-06
1773633630,promo_best_replay_1773633606,0.478657559,500244.562500,1045099.055462,1.045936073751e-06,1.128991721089e-06
1773636351,promo_auto_tensor_1773636313,0.662814540,414581.468750,625486.382497,1.045771114150e-06,1.128991721089e-06
1773636386,promo_profile_tensor_1773636351,0.654063769,418574.937500,639960.440391,1.045771114150e-06,1.128991721089e-06
1773636424,promo_profile_fused_linear_1773636386,0.617182201,404123.437500,654787.899854,1.045771114150e-06,1.128991721089e-06
1773636460,promo_fullstack_profile_1773636424,0.623830693,421578.687500,675790.229830,1.045771114150e-06,1.128991721089e-06
1773637257,round_18_reliability_perf,0.149843883,58082.031250,387616.964738,1.045781345965e-06,1.128991721089e-06
1773637374,round_18_reliability_perf_v2,0.690971198,412262.000000,596641.366798,1.045771114150e-06,1.128991721089e-06
1773654260,promo_auto_tensor_1773654131,0.451961254,520544.906250,1151746.752157,1.045771114150e-06,1.128991721089e-06
1773654282,promo_profile_tensor_1773654260,0.494870236,554735.687500,1120972.018290,1.045771114150e-06,1.128991721089e-06
1773654304,promo_profile_fused_linear_1773654282,0.409329863,476075.531250,1163060.833938,1.045771114150e-06,1.128991721089e-06
1773656225,round_19_release_prep,0.515313044,552687.250000,1072527.186961,1.045771114150e-06,1.128991721089e-06
